Request Year:,2019
Test:,187
Test Description:,
TestRegime Name:,FirstCell dQdV C/25
TestRegime Suffix:,HWL
TestRegime CellSize:,Default cellsize
TestRegime Version:,1
Project Group Name:,Immediate
Project Group Description:,Immediate
Project Group Memo:,
Project Group Storage Environment:,R.T./AMB
Project Group Test Environment:,R.T./AMB
Number Of Cells:,1
Parameter names:,
Parameter values:,
Variable names:
LotID:,
Lot Description:,
Date Made:,1/21/2003 0:00
Origin:,Other
Requestor:,Admin
Product ID:,Default product
Storage Temp:,R.T./AMB
Storage Delay:,0 days
Test Temp:,R.T./AMB
Start Time:,02/22/2019 16:21:35
End Time:,1/1/0001 0:00
Operator Instructions:,Also connect cell temp to channel TC-K and ambient temp to NTC
#RESULTS CHECK
ReqYear,Test,CellNr,Type,Value,Reason,
2019,187,1,1,3272,3,
#END RESULTS CHECK
Test,Cell,Rack,Shelf,Position,Cell ID,Step,Cycle,Total Time (Seconds),Load On Time (Seconds),Step Time (Seconds),Cycle Charge Time (Seconds),Cycle Discharge Time (Seconds),Real Time,Position Start Time,Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Charge Capacity (mWh),Discharge Capacity (mWh),ReasonCode,50% DoD (mV),PeakPower 1 (W),PeakPower 2 (W),Open Circuit Voltage 1 (V),Open Circuit Voltage 2 (V),Internal Resistance 1 (mOhm),Internal Resistance 2 (mOhm),Ambient temperature (°C),Cell surface temperature (°C),DC Internal Resistance (mOhm),AC Internal Resistance (mOhm),Station Temperature (°C),
187,1,SBT0550,001,1,,10,1,192350.183,188720,65658.971,97521,65658,02/24/2019 21:49:16,02/22/2019 16:23:26,3255.893,-1640,44424.915,29910.228,148356.771,99226.471,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192370.183,188740,65678.971,97521,65678,02/24/2019 21:49:36,02/22/2019 16:23:26,3256.0924,-1639.6,44424.915,29919.338,148356.771,99256.136,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192390.183,188760,65698.971,97521,65698,02/24/2019 21:49:56,02/22/2019 16:23:26,3255.9862,-1639.9,44424.915,29928.449,148356.771,99285.8,30,0,0,0,0,0,0,0,26.04,25.2,,,,
187,1,SBT0550,001,1,,10,1,192410.183,188780,65718.971,97521,65718,02/24/2019 21:50:16,02/22/2019 16:23:26,3256.2426,-1639.8,44424.915,29937.56,148356.771,99315.465,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192430.183,188800,65738.971,97521,65738,02/24/2019 21:50:36,02/22/2019 16:23:26,3255.773,-1639.7,44424.915,29946.671,148356.771,99345.129,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192450.183,188820,65758.971,97521,65758,02/24/2019 21:50:56,02/22/2019 16:23:26,3255.968,-1640,44424.915,29955.782,148356.771,99374.793,30,0,0,0,0,0,0,0,26.05,25.3,,,,
187,1,SBT0550,001,1,,10,1,192470.183,188840,65778.971,97521,65778,02/24/2019 21:51:16,02/22/2019 16:23:26,3256.0814,-1640,44424.915,29964.892,148356.771,99404.457,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192490.183,188860,65798.971,97521,65798,02/24/2019 21:51:36,02/22/2019 16:23:26,3255.949,-1639.9,44424.915,29974.003,148356.771,99434.121,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192510.183,188880,65818.971,97521,65818,02/24/2019 21:51:56,02/22/2019 16:23:26,3255.808,-1639.9,44424.915,29983.114,148356.771,99463.784,30,0,0,0,0,0,0,0,26.04,25.3,,,,
187,1,SBT0550,001,1,,10,1,192530.183,188900,65838.971,97521,65838,02/24/2019 21:52:16,02/22/2019 16:23:26,3255.659,-1639.9,44424.915,29992.225,148356.771,99493.446,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192550.183,188920,65858.971,97521,65858,02/24/2019 21:52:36,02/22/2019 16:23:26,3255.6804,-1639.9,44424.915,30001.335,148356.771,99523.107,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192570.183,188940,65878.971,97521,65878,02/24/2019 21:52:56,02/22/2019 16:23:26,3255.9244,-1640.1,44424.915,30010.446,148356.771,99552.77,30,0,0,0,0,0,0,0,26.05,25.3,,,,
187,1,SBT0550,001,1,,10,1,192590.183,188960,65898.971,97521,65898,02/24/2019 21:53:16,02/22/2019 16:23:26,3255.6908,-1640,44424.915,30019.557,148356.771,99582.432,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192610.183,188980,65918.971,97521,65918,02/24/2019 21:53:36,02/22/2019 16:23:26,3255.63,-1640.2,44424.915,30028.668,148356.771,99612.094,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192630.183,189000,65938.971,97521,65938,02/24/2019 21:53:56,02/22/2019 16:23:26,3255.6424,-1640,44424.915,30037.779,148356.771,99641.755,30,0,0,0,0,0,0,0,26.06,25.2,,,,
187,1,SBT0550,001,1,,10,1,192650.183,189020,65958.971,97521,65958,02/24/2019 21:54:16,02/22/2019 16:23:26,3255.4886,-1640,44424.915,30046.889,148356.771,99671.416,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192670.183,189040,65978.971,97521,65978,02/24/2019 21:54:36,02/22/2019 16:23:26,3255.8312,-1640.1,44424.915,30056,148356.771,99701.077,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192690.183,189060,65998.971,97521,65998,02/24/2019 21:54:56,02/22/2019 16:23:26,3255.6744,-1640.1,44424.915,30065.111,148356.771,99730.738,30,0,0,0,0,0,0,0,26.05,25.3,,,,
187,1,SBT0550,001,1,,10,1,192710.183,189080,66018.971,97521,66018,02/24/2019 21:55:16,02/22/2019 16:23:26,3255.4824,-1640.1,44424.915,30074.222,148356.771,99760.399,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192730.183,189100,66038.971,97521,66038,02/24/2019 21:55:36,02/22/2019 16:23:26,3255.4364,-1640.1,44424.915,30083.332,148356.771,99790.059,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192750.183,189120,66058.971,97521,66058,02/24/2019 21:55:56,02/22/2019 16:23:26,3255.6118,-1640,44424.915,30092.443,148356.771,99819.719,30,0,0,0,0,0,0,0,26.06,25.3,,,,
187,1,SBT0550,001,1,,10,1,192770.183,189140,66078.971,97521,66078,02/24/2019 21:56:16,02/22/2019 16:23:26,3255.5722,-1640,44424.915,30101.554,148356.771,99849.379,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192790.183,189160,66098.971,97521,66098,02/24/2019 21:56:36,02/22/2019 16:23:26,3255.3886,-1639.9,44424.915,30110.665,148356.771,99879.038,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192810.183,189180,66118.971,97521,66118,02/24/2019 21:56:56,02/22/2019 16:23:26,3255.28,-1639.9,44424.915,30119.775,148356.771,99908.697,30,0,0,0,0,0,0,0,26.06,25.3,,,,
187,1,SBT0550,001,1,,10,1,192830.183,189200,66138.971,97521,66138,02/24/2019 21:57:16,02/22/2019 16:23:26,3255.19,-1639.8,44424.915,30128.886,148356.771,99938.354,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192850.183,189220,66158.971,97521,66158,02/24/2019 21:57:36,02/22/2019 16:23:26,3254.9462,-1640.1,44424.915,30137.997,148356.771,99968.011,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192870.183,189240,66178.971,97521,66178,02/24/2019 21:57:56,02/22/2019 16:23:26,3255.033,-1639.9,44424.915,30147.108,148356.771,99997.667,30,0,0,0,0,0,0,0,26.06,25.3,,,,
187,1,SBT0550,001,1,,10,1,192890.183,189260,66198.971,97521,66198,02/24/2019 21:58:16,02/22/2019 16:23:26,3254.9668,-1640,44424.915,30156.218,148356.771,100027.323,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192910.183,189280,66218.971,97521,66218,02/24/2019 21:58:36,02/22/2019 16:23:26,3254.9796,-1640.1,44424.915,30165.329,148356.771,100056.98,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192930.183,189300,66238.971,97521,66238,02/24/2019 21:58:56,02/22/2019 16:23:26,3254.9776,-1640,44424.915,30174.44,148356.771,100086.635,30,0,0,0,0,0,0,0,26.06,25.3,,,,
187,1,SBT0550,001,1,,10,1,192950.183,189320,66258.971,97521,66258,02/24/2019 21:59:16,02/22/2019 16:23:26,3255.1666,-1640,44424.915,30183.551,148356.771,100116.291,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192970.183,189340,66278.971,97521,66278,02/24/2019 21:59:36,02/22/2019 16:23:26,3255.0728,-1639.8,44424.915,30192.662,148356.771,100145.948,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192990.183,189360,66298.971,97521,66298,02/24/2019 21:59:56,02/22/2019 16:23:26,3254.7846,-1639.8,44424.915,30201.772,148356.771,100175.603,30,0,0,0,0,0,0,0,26.05,25.2,,,,
187,1,SBT0550,001,1,,10,1,193010.183,189380,66318.971,97521,66318,02/24/2019 22:00:16,02/22/2019 16:23:26,3254.8768,-1639.9,44424.915,30210.883,148356.771,100205.259,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193030.183,189400,66338.971,97521,66338,02/24/2019 22:00:36,02/22/2019 16:23:26,3254.9872,-1639.8,44424.915,30219.994,148356.771,100234.914,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193050.183,189420,66358.971,97521,66358,02/24/2019 22:00:56,02/22/2019 16:23:26,3255.0354,-1640,44424.915,30229.105,148356.771,100264.569,30,0,0,0,0,0,0,0,26.06,25.3,,,,
187,1,SBT0550,001,1,,10,1,193070.183,189440,66378.971,97521,66378,02/24/2019 22:01:16,02/22/2019 16:23:26,3255.024,-1639.9,44424.915,30238.215,148356.771,100294.223,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193090.183,189460,66398.971,97521,66398,02/24/2019 22:01:36,02/22/2019 16:23:26,3254.6478,-1639.8,44424.915,30247.326,148356.771,100323.877,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193110.183,189480,66418.971,97521,66418,02/24/2019 22:01:56,02/22/2019 16:23:26,3254.7696,-1639.8,44424.915,30256.437,148356.771,100353.531,30,0,0,0,0,0,0,0,26.06,25.3,,,,
187,1,SBT0550,001,1,,10,1,193130.183,189500,66438.971,97521,66438,02/24/2019 22:02:16,02/22/2019 16:23:26,3254.8686,-1639.9,44424.915,30265.548,148356.771,100383.186,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193150.183,189520,66458.971,97521,66458,02/24/2019 22:02:36,02/22/2019 16:23:26,3254.8742,-1640.1,44424.915,30274.659,148356.771,100412.84,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193170.183,189540,66478.971,97521,66478,02/24/2019 22:02:56,02/22/2019 16:23:26,3254.702,-1639.8,44424.915,30283.769,148356.771,100442.494,30,0,0,0,0,0,0,0,26.06,25.3,,,,
187,1,SBT0550,001,1,,10,1,193190.183,189560,66498.971,97521,66498,02/24/2019 22:03:16,02/22/2019 16:23:26,3254.5022,-1640.3,44424.915,30292.88,148356.771,100472.147,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193210.183,189580,66518.971,97521,66518,02/24/2019 22:03:36,02/22/2019 16:23:26,3254.7702,-1639.8,44424.915,30301.991,148356.771,100501.799,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193230.183,189600,66538.971,97521,66538,02/24/2019 22:03:56,02/22/2019 16:23:26,3254.692,-1640.1,44424.915,30311.102,148356.771,100531.452,30,0,0,0,0,0,0,0,26.06,25.3,,,,
187,1,SBT0550,001,1,,10,1,193250.183,189620,66558.971,97521,66558,02/24/2019 22:04:16,02/22/2019 16:23:26,3254.4892,-1639.8,44424.915,30320.212,148356.771,100561.104,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193270.183,189640,66578.971,97521,66578,02/24/2019 22:04:36,02/22/2019 16:23:26,3254.5872,-1640,44424.915,30329.323,148356.771,100590.755,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193290.183,189660,66598.971,97521,66598,02/24/2019 22:04:56,02/22/2019 16:23:26,3254.2994,-1639.7,44424.915,30338.434,148356.771,100620.407,30,0,0,0,0,0,0,0,26.06,25.3,,,,
187,1,SBT0550,001,1,,10,1,193310.183,189680,66618.971,97521,66618,02/24/2019 22:05:16,02/22/2019 16:23:26,3254.3216,-1640,44424.915,30347.545,148356.771,100650.058,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193330.183,189700,66638.971,97521,66638,02/24/2019 22:05:36,02/22/2019 16:23:26,3254.4334,-1639.8,44424.915,30356.656,148356.771,100679.709,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193350.183,189720,66658.971,97521,66658,02/24/2019 22:05:56,02/22/2019 16:23:26,3254.4978,-1639.8,44424.915,30365.766,148356.771,100709.36,30,0,0,0,0,0,0,0,26.07,25.3,,,,
187,1,SBT0550,001,1,,10,1,193370.183,189740,66678.971,97521,66678,02/24/2019 22:06:16,02/22/2019 16:23:26,3254.3098,-1640,44424.915,30374.877,148356.771,100739.011,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193390.183,189760,66698.971,97521,66698,02/24/2019 22:06:36,02/22/2019 16:23:26,3254.1882,-1639.8,44424.915,30383.988,148356.771,100768.661,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193410.183,189780,66718.971,97521,66718,02/24/2019 22:06:56,02/22/2019 16:23:26,3254.3948,-1640,44424.915,30393.099,148356.771,100798.309,30,0,0,0,0,0,0,0,26.06,25.3,,,,
187,1,SBT0550,001,1,,10,1,193430.183,189800,66738.971,97521,66738,02/24/2019 22:07:16,02/22/2019 16:23:26,3254.1586,-1639.9,44424.915,30402.21,148356.771,100827.959,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193450.183,189820,66758.971,97521,66758,02/24/2019 22:07:36,02/22/2019 16:23:26,3254.2544,-1639.9,44424.915,30411.32,148356.771,100857.608,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193470.183,189840,66778.971,97521,66778,02/24/2019 22:07:56,02/22/2019 16:23:26,3254.2418,-1640.1,44424.915,30420.431,148356.771,100887.256,30,0,0,0,0,0,0,0,26.06,25.4,,,,
187,1,SBT0550,001,1,,10,1,193490.183,189860,66798.971,97521,66798,02/24/2019 22:08:16,02/22/2019 16:23:26,3254.2046,-1639.9,44424.915,30429.542,148356.771,100916.905,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193510.183,189880,66818.971,97521,66818,02/24/2019 22:08:36,02/22/2019 16:23:26,3254.0628,-1639.6,44424.915,30438.653,148356.771,100946.552,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193530.183,189900,66838.971,97521,66838,02/24/2019 22:08:56,02/22/2019 16:23:26,3254.3466,-1639.8,44424.915,30447.764,148356.771,100976.2,30,0,0,0,0,0,0,0,26.07,25.4,,,,
187,1,SBT0550,001,1,,10,1,193550.183,189920,66858.971,97521,66858,02/24/2019 22:09:16,02/22/2019 16:23:26,3254.1426,-1639.8,44424.915,30456.874,148356.771,101005.848,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193570.183,189940,66878.971,97521,66878,02/24/2019 22:09:36,02/22/2019 16:23:26,3254.093,-1640.1,44424.915,30465.985,148356.771,101035.495,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193590.183,189960,66898.971,97521,66898,02/24/2019 22:09:56,02/22/2019 16:23:26,3254.0838,-1639.8,44424.915,30475.096,148356.771,101065.141,30,0,0,0,0,0,0,0,26.07,25.3,,,,
187,1,SBT0550,001,1,,10,1,193610.183,189980,66918.971,97521,66918,02/24/2019 22:10:16,02/22/2019 16:23:26,3253.7394,-1639.8,44424.915,30484.207,148356.771,101094.787,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193630.183,190000,66938.971,97521,66938,02/24/2019 22:10:36,02/22/2019 16:23:26,3253.7466,-1640.1,44424.915,30493.317,148356.771,101124.432,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193650.183,190020,66958.971,97521,66958,02/24/2019 22:10:56,02/22/2019 16:23:26,3253.8862,-1639.8,44424.915,30502.428,148356.771,101154.076,30,0,0,0,0,0,0,0,26.06,25.4,,,,
187,1,SBT0550,001,1,,10,1,193670.183,190040,66978.971,97521,66978,02/24/2019 22:11:16,02/22/2019 16:23:26,3253.8278,-1640,44424.915,30511.539,148356.771,101183.721,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193690.183,190060,66998.971,97521,66998,02/24/2019 22:11:36,02/22/2019 16:23:26,3253.7728,-1640,44424.915,30520.65,148356.771,101213.365,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193710.183,190080,67018.971,97521,67018,02/24/2019 22:11:56,02/22/2019 16:23:26,3253.754,-1640,44424.915,30529.76,148356.771,101243.008,30,0,0,0,0,0,0,0,26.06,25.4,,,,
187,1,SBT0550,001,1,,10,1,193730.183,190100,67038.971,97521,67038,02/24/2019 22:12:16,02/22/2019 16:23:26,3253.7582,-1640,44424.915,30538.871,148356.771,101272.652,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193750.183,190120,67058.971,97521,67058,02/24/2019 22:12:36,02/22/2019 16:23:26,3254.019,-1640,44424.915,30547.982,148356.771,101302.297,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193770.183,190140,67078.971,97521,67078,02/24/2019 22:12:56,02/22/2019 16:23:26,3253.6958,-1639.8,44424.915,30557.093,148356.771,101331.941,30,0,0,0,0,0,0,0,26.06,25.4,,,,
187,1,SBT0550,001,1,,10,1,193790.183,190160,67098.971,97521,67098,02/24/2019 22:13:16,02/22/2019 16:23:26,3253.5002,-1640,44424.915,30566.204,148356.771,101361.584,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193810.183,190180,67118.971,97521,67118,02/24/2019 22:13:36,02/22/2019 16:23:26,3253.9046,-1639.8,44424.915,30575.314,148356.771,101391.227,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193830.183,190200,67138.971,97521,67138,02/24/2019 22:13:56,02/22/2019 16:23:26,3253.629,-1640,44424.915,30584.425,148356.771,101420.871,30,0,0,0,0,0,0,0,26.07,25.4,,,,
187,1,SBT0550,001,1,,10,1,193850.183,190220,67158.971,97521,67158,02/24/2019 22:14:16,02/22/2019 16:23:26,3253.5622,-1639.8,44424.915,30593.536,148356.771,101450.514,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193870.183,190240,67178.971,97521,67178,02/24/2019 22:14:36,02/22/2019 16:23:26,3253.5402,-1639.9,44424.915,30602.647,148356.771,101480.155,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193890.183,190260,67198.971,97521,67198,02/24/2019 22:14:56,02/22/2019 16:23:26,3253.2974,-1639.9,44424.915,30611.757,148356.771,101509.796,30,0,0,0,0,0,0,0,26.07,25.4,,,,
187,1,SBT0550,001,1,,10,1,193910.183,190280,67218.971,97521,67218,02/24/2019 22:15:16,02/22/2019 16:23:26,3253.3972,-1640,44424.915,30620.868,148356.771,101539.437,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193930.183,190300,67238.971,97521,67238,02/24/2019 22:15:36,02/22/2019 16:23:26,3253.5742,-1640,44424.915,30629.979,148356.771,101569.078,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193950.183,190320,67258.971,97521,67258,02/24/2019 22:15:56,02/22/2019 16:23:26,3253.099,-1639.9,44424.915,30639.09,148356.771,101598.718,30,0,0,0,0,0,0,0,26.07,25.3,,,,
187,1,SBT0550,001,1,,10,1,193970.183,190340,67278.971,97521,67278,02/24/2019 22:16:16,02/22/2019 16:23:26,3253.088,-1640,44424.915,30648.201,148356.771,101628.357,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,193990.183,190360,67298.971,97521,67298,02/24/2019 22:16:36,02/22/2019 16:23:26,3252.9106,-1639.8,44424.915,30657.311,148356.771,101657.996,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,194010.183,190380,67318.971,97521,67318,02/24/2019 22:16:56,02/22/2019 16:23:26,3253.0042,-1640,44424.915,30666.422,148356.771,101687.635,30,0,0,0,0,0,0,0,26.08,25.4,,,,
187,1,SBT0550,001,1,,10,1,194030.183,190400,67338.971,97521,67338,02/24/2019 22:17:16,02/22/2019 16:23:26,3253.0888,-1639.9,44424.915,30675.533,148356.771,101717.273,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,194050.183,190420,67358.971,97521,67358,02/24/2019 22:17:36,02/22/2019 16:23:26,3253.0948,-1640.1,44424.915,30684.644,148356.771,101746.91,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,194070.183,190440,67378.971,97521,67378,02/24/2019 22:17:56,02/22/2019 16:23:26,3253.0612,-1640.1,44424.915,30693.755,148356.771,101776.548,30,0,0,0,0,0,0,0,26.09,25.4,,,,
187,1,SBT0550,001,1,,10,1,194090.183,190460,67398.971,97521,67398,02/24/2019 22:18:16,02/22/2019 16:23:26,3253.0906,-1639.8,44424.915,30702.865,148356.771,101806.186,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,194110.183,190480,67418.971,97521,67418,02/24/2019 22:18:36,02/22/2019 16:23:26,3252.9834,-1640.1,44424.915,30711.976,148356.771,101835.823,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,194130.183,190500,67438.971,97521,67438,02/24/2019 22:18:56,02/22/2019 16:23:26,3253.1462,-1640,44424.915,30721.087,148356.771,101865.46,30,0,0,0,0,0,0,0,26.08,25.4,,,,
187,1,SBT0550,001,1,,10,1,194150.183,190520,67458.971,97521,67458,02/24/2019 22:19:16,02/22/2019 16:23:26,3252.9484,-1639.8,44424.915,30730.198,148356.771,101895.097,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,194170.183,190540,67478.971,97521,67478,02/24/2019 22:19:36,02/22/2019 16:23:26,3252.9548,-1640,44424.915,30739.309,148356.771,101924.733,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,194190.183,190560,67498.971,97521,67498,02/24/2019 22:19:56,02/22/2019 16:23:26,3253.1022,-1640.1,44424.915,30748.419,148356.771,101954.371,30,0,0,0,0,0,0,0,26.08,25.3,,,,
187,1,SBT0550,001,1,,10,1,194210.183,190580,67518.971,97521,67518,02/24/2019 22:20:16,02/22/2019 16:23:26,3252.6886,-1640,44424.915,30757.53,148356.771,101984.006,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,194230.183,190600,67538.971,97521,67538,02/24/2019 22:20:36,02/22/2019 16:23:26,3252.6386,-1639.8,44424.915,30766.641,148356.771,102013.64,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,194250.183,190620,67558.971,97521,67558,02/24/2019 22:20:56,02/22/2019 16:23:26,3252.9132,-1639.8,44424.915,30775.752,148356.771,102043.275,30,0,0,0,0,0,0,0,26.08,25.4,,,,
187,1,SBT0550,001,1,,10,1,194270.183,190640,67578.971,97521,67578,02/24/2019 22:21:16,02/22/2019 16:23:26,3252.71,-1640,44424.915,30784.862,148356.771,102072.91,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,194290.183,190660,67598.971,97521,67598,02/24/2019 22:21:36,02/22/2019 16:23:26,3252.8436,-1640.1,44424.915,30793.973,148356.771,102102.544,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,194310.183,190680,67618.971,97521,67618,02/24/2019 22:21:56,02/22/2019 16:23:26,3252.9192,-1639.8,44424.915,30803.084,148356.771,102132.179,30,0,0,0,0,0,0,0,26.08,25.4,,,,
187,1,SBT0550,001,1,,10,1,194330.183,190700,67638.971,97521,67638,02/24/2019 22:22:16,02/22/2019 16:23:26,3252.7636,-1640.1,44424.915,30812.195,148356.771,102161.814,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,194350.183,190720,67658.971,97521,67658,02/24/2019 22:22:36,02/22/2019 16:23:26,3252.7122,-1640,44424.915,30821.305,148356.771,102191.448,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,194370.183,190740,67678.971,97521,67678,02/24/2019 22:22:56,02/22/2019 16:23:26,3252.433,-1640,44424.915,30830.416,148356.771,102221.081,30,0,0,0,0,0,0,0,26.09,25.3,,,,
187,1,SBT0550,001,1,,10,1,194390.183,190760,67698.971,97521,67698,02/24/2019 22:23:16,02/22/2019 16:23:26,3252.3992,-1640.1,44424.915,30839.527,148356.771,102250.714,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,194410.183,190780,67718.971,97521,67718,02/24/2019 22:23:36,02/22/2019 16:23:26,3252.2402,-1640.1,44424.915,30848.638,148356.771,102280.346,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,194430.183,190800,67738.971,97521,67738,02/24/2019 22:23:56,02/22/2019 16:23:26,3252.0486,-1640,44424.915,30857.748,148356.771,102309.976,30,0,0,0,0,0,0,0,26.09,25.3,,,,
187,1,SBT0550,001,1,,10,1,194450.183,190820,67758.971,97521,67758,02/24/2019 22:24:16,02/22/2019 16:23:26,3252.0492,-1639.9,44424.915,30866.859,148356.771,102339.606,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,194470.183,190840,67778.971,97521,67778,02/24/2019 22:24:36,02/22/2019 16:23:26,3252.2254,-1639.9,44424.915,30875.97,148356.771,102369.236,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,194490.183,190860,67798.971,97521,67798,02/24/2019 22:24:56,02/22/2019 16:23:26,3252.1246,-1640.2,44424.915,30885.081,148356.771,102398.867,30,0,0,0,0,0,0,0,26.1,25.4,,,,
187,1,SBT0550,001,1,,10,1,194510.183,190880,67818.971,97521,67818,02/24/2019 22:25:16,02/22/2019 16:23:26,3252.185,-1640.1,44424.915,30894.192,148356.771,102428.497,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,194530.183,190900,67838.971,97521,67838,02/24/2019 22:25:36,02/22/2019 16:23:26,3251.7742,-1640,44424.915,30903.302,148356.771,102458.126,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,194550.183,190920,67858.971,97521,67858,02/24/2019 22:25:56,02/22/2019 16:23:26,3252.0176,-1639.7,44424.915,30912.413,148356.771,102487.753,30,0,0,0,0,0,0,0,26.08,25.4,,,,
